geneSymbol,diseaseName
TNFAIP1,Diabetic Nephropathies
VDAC1,Diabetic Nephropathies
VDAC2,Diabetic Nephropathies
IDDMX,"DIABETES MELLITUS, INSULIN-DEPENDENT, X-LINKED, SUSCEPTIBILITY TO"
TAGAP,"Diabetes Mellitus, Insulin-Dependent, 21"
ACE,"MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 1"
DIANPH,"MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 1"
IDDM23,"Diabetes Mellitus, Insulin-Dependent, 23"
ALDH2,Diabetes Complications
IDDM17,"Diabetes Mellitus, Insulin-Dependent, 17"
IDDM3,"Diabetes Mellitus, Insulin-Dependent, 3"
SUMO4,"Diabetes Mellitus, Insulin-Dependent, 5"
TRNL1,Noninsulin-dependent diabetes mellitus with deafness
ACOT1,"Diabetes Mellitus, Experimental"
ACOX1,"Diabetes Mellitus, Experimental"
ACSL1,"Diabetes Mellitus, Experimental"
AGT,"Diabetes Mellitus, Experimental"
AIFM1,"Diabetes Mellitus, Experimental"
ATF3,"Diabetes Mellitus, Experimental"
ATP2A3,"Diabetes Mellitus, Experimental"
CAV1,"Diabetes Mellitus, Experimental"
CAV3,"Diabetes Mellitus, Experimental"
CCL20,"Diabetes Mellitus, Experimental"
CD68,"Diabetes Mellitus, Experimental"
CHRM2,"Diabetes Mellitus, Experimental"
COX2,"Diabetes Mellitus, Experimental"
CPT1A,"Diabetes Mellitus, Experimental"
CPT1B,"Diabetes Mellitus, Experimental"
ESRRA,"Diabetes Mellitus, Experimental"
FGF21,"Diabetes Mellitus, Experimental"
FOXO3,"Diabetes Mellitus, Experimental"
GPAM,"Diabetes Mellitus, Experimental"
GPD2,"Diabetes Mellitus, Experimental"
HK1,"Diabetes Mellitus, Experimental"
HSD11B1,"Diabetes Mellitus, Experimental"
IAPP,"Diabetes Mellitus, Experimental"
ID1,"Diabetes Mellitus, Experimental"
LEPR,"Diabetes Mellitus, Experimental"
MAP3K5,"Diabetes Mellitus, Experimental"
MFGE8,"Diabetes Mellitus, Experimental"
MMP2,"Diabetes Mellitus, Experimental"
NCF1,"Diabetes Mellitus, Experimental"
ND1,"Diabetes Mellitus, Experimental"
NEUROD1,"Diabetes Mellitus, Experimental"
NKX6-1,"Diabetes Mellitus, Experimental"
NQO1,"Diabetes Mellitus, Experimental"
PAX6,"Diabetes Mellitus, Experimental"
PDK4,"Diabetes Mellitus, Experimental"
PFKM,"Diabetes Mellitus, Experimental"
PPARA,"Diabetes Mellitus, Experimental"
PRKCA,"Diabetes Mellitus, Experimental"
PRKCE,"Diabetes Mellitus, Experimental"
REN,"Diabetes Mellitus, Experimental"
S100A6,"Diabetes Mellitus, Experimental"
S1PR2,"Diabetes Mellitus, Experimental"
S1PR4,"Diabetes Mellitus, Experimental"
S1PR5,"Diabetes Mellitus, Experimental"
SERPINE1,"Diabetes Mellitus, Experimental"
SLC9A1,"Diabetes Mellitus, Experimental"
SNAP25,"Diabetes Mellitus, Experimental"
STS,"Diabetes Mellitus, Experimental"
TIMP2,"Diabetes Mellitus, Experimental"
YWHAH,"Diabetes Mellitus, Experimental"
PBCA,Pancreatic beta cell agenesis with neonatal diabetes mellitus
CHRM2,Diabetic Neuropathies
GRM5,Diabetic Neuropathies
MME,Diabetic Neuropathies
MMP2,Diabetic Neuropathies
MMP9,Diabetic Neuropathies
SGK1,Diabetic Neuropathies
AIFM1,"Diabetes Mellitus, Type 1"
CCL20,"Diabetes Mellitus, Type 1"
CHRM2,"Diabetes Mellitus, Type 1"
DDIT3,"Diabetes Mellitus, Type 1"
FGF21,"Diabetes Mellitus, Type 1"
NIDDM3,"Diabetes Mellitus, Noninsulin-Dependent, 3"
GAD2,Diabetic Retinopathy
CTLA4,"Diabetes Mellitus, Insulin-Dependent, 12"
CCR5,"Diabetes Mellitus, Insulin-Dependent, 22"
IDDM18,"Diabetes Mellitus, Insulin-Dependent, 18"
HFE,"MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 7"
PON1,"MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 5"
BCL2L1,"Diabetes Mellitus, Type 2"
BHMT,"Diabetes Mellitus, Type 2"
CASP3,"Diabetes Mellitus, Type 2"
CASP8,"Diabetes Mellitus, Type 2"
CDO1,"Diabetes Mellitus, Type 2"
CYP1A2,"Diabetes Mellitus, Type 2"
ECE1,"Diabetes Mellitus, Type 2"
HPX,"Diabetes Mellitus, Type 2"
ID1,"Diabetes Mellitus, Type 2"
MAT1A,"Diabetes Mellitus, Type 2"
NIDDM3,"Diabetes Mellitus, Type 2"
RELA,"Diabetes Mellitus, Type 2"
S100A6,"Diabetes Mellitus, Type 2"
SNAP25,"Diabetes Mellitus, Type 2"
AR,"Diabetes, Gestational"
CYP19A1,"Diabetes, Gestational"
IDDM24,"Diabetes Mellitus, Insulin-Dependent, 24"
AGTR2,Diabetic Cardiomyopathies
IGF1,Diabetic Cardiomyopathies
RYR2,Diabetic Cardiomyopathies
SLC25A4,Diabetic Cardiomyopathies
SPP1,Diabetic Cardiomyopathies
TNF,Diabetic Cardiomyopathies
IDDM15,"Diabetes Mellitus, Insulin-Dependent, 15"
POMC,Diabetes Insipidus
IGF1R,"Diabetes Mellitus, Type 2"
FASLG,"Diabetes Mellitus, Type 1"
TRNE,Noninsulin-dependent diabetes mellitus with deafness
FOXC2,Lymphedema-Distichiasis Syndrome with Renal Disease and Diabetes Mellitus
PPP1R3A,"INSULIN RESISTANCE, SUSCEPTIBILITY TO"
PTPN1,"INSULIN RESISTANCE, SUSCEPTIBILITY TO"
HNF1A,"INSULIN RESISTANCE, SUSCEPTIBILITY TO"
KCNJ11,"Diabetes Mellitus, Permanent Neonatal, With Neurologic Features"
INSR,Type 2 diabetes mellitus with acanthosis nigricans
TRNK,Noninsulin-dependent diabetes mellitus with deafness
PDX1,"Diabetes Mellitus, Permanent Neonatal"
SERPINE1,"Diabetes Mellitus, Type 2"
GAD2,"Diabetes Mellitus, Type 1"
NOS3,Diabetic Retinopathy
HLA-DRB1,"Diabetes Mellitus, Type 1"
AGTR1,Diabetic Nephropathies
AKR1B1,Diabetic Retinopathy
UCP3,"Diabetes Mellitus, Type 2"
IGF1,"Diabetes Mellitus, Type 2"
IL6,Insulin Resistance
CTGF,Diabetic Nephropathies
AGER,"Diabetes Mellitus, Type 2"
INS,Mason-Type Diabetes
CCL2,"Diabetes Mellitus, Type 2"
PPARG,Diabetic Nephropathies
PCK1,"Diabetes Mellitus, Type 2"
CCR5,"Diabetes Mellitus, Type 1"
IL4,"Diabetes Mellitus, Type 1"
AGER,Diabetic Retinopathy
AGER,Diabetic Nephropathies
IL1R1,"Diabetes Mellitus, Type 1"
SERPINF1,Diabetic Retinopathy
REN,Diabetic Nephropathies
RBP4,"Diabetes Mellitus, Type 2"
PCSK1,"Diabetes Mellitus, Type 2"
ND1,"Diabetes Mellitus, Type 2"
CCR5,"Diabetes Mellitus, Type 2"
SOD2,"Diabetes Mellitus, Type 1"
MMP3,"Diabetes Mellitus, Type 2"
TNF,Diabetic Nephropathies
CD36,"Diabetes Mellitus, Type 2"
IGF2,"Diabetes Mellitus, Type 1"
MMP9,"Diabetes Mellitus, Type 2"
PTGS2,"Diabetes Mellitus, Type 2"
CYP3A4,"Diabetes Mellitus, Type 2"
INSR,Diabetes Mellitus
HSD11B1,"Diabetes Mellitus, Type 2"
GIP,"Diabetes Mellitus, Type 2"
PRKCB,Diabetic Nephropathies
PPARGC1A,Insulin Resistance
ACE,"Diabetes Mellitus, Type 2"
PTPRN,"Diabetes Mellitus, Type 1"
SIRT1,"Diabetes Mellitus, Type 2"
STAT4,"Diabetes Mellitus, Type 1"
NR3C1,"Diabetes Mellitus, Type 2"
PDX1,"Diabetes Mellitus, Type 1"
PIK3R1,"Diabetes Mellitus, Type 2"
CTLA4,"Diabetes Mellitus, Type 1"
EDN1,Diabetic Retinopathy
GAD1,Diabetes Mellitus
F7,"Diabetes Mellitus, Type 2"
IL1B,Diabetic Nephropathies
IL6,Diabetic Nephropathies
GSTT1,"Diabetes Mellitus, Type 1"
G6PC2,"Diabetes Mellitus, Type 1"
ADRA2A,"Diabetes Mellitus, Type 2"
FGF2,Diabetic Retinopathy
CYP2E1,"Diabetes Mellitus, Type 2"
CXCL10,"Diabetes Mellitus, Type 1"
BMP7,Diabetic Nephropathies
PDX1,Mason-Type Diabetes
IGF2,"Diabetes Mellitus, Type 2"
TRPC1,Diabetic Nephropathies
SERPINF1,"Diabetes Mellitus, Type 2"
HIF1A,"Diabetes Mellitus, Type 2"
APOC3,"Diabetes Mellitus, Type 1"
CBLB,"Diabetes Mellitus, Type 1"
GIPR,"Diabetes Mellitus, Type 2"
CD38,"Diabetes Mellitus, Type 2"
ICAM1,Diabetic Nephropathies
AIF1,"Diabetes Mellitus, Type 1"
AR,"Diabetes Mellitus, Type 2"
HTR2C,"Diabetes Mellitus, Type 2"
NPPB,"Diabetes Mellitus, Type 2"
NOS2,"Diabetes Mellitus, Type 1"
MIF,"Diabetes Mellitus, Type 2"
AKT1,"Diabetes Mellitus, Type 2"
HMGCR,"Diabetes Mellitus, Type 2"
CNR1,Insulin Resistance
GCK,Insulin Resistance
CAPN10,Diabetic Nephropathies
IL2RA,Diabetes Mellitus
AKR1B1,Diabetic Neuropathies
GIMAP5,"Diabetes Mellitus, Type 1"
PTGS2,Diabetic Nephropathies
CAT,Diabetic Nephropathies
PRKAA1,"Diabetes Mellitus, Type 2"
PTPRN2,"Diabetes Mellitus, Type 1"
HNF4A,Diabetic Nephropathies
TIMP2,Diabetic Nephropathies
SELL,"Diabetes Mellitus, Type 1"
LGALS3,"Diabetes Mellitus, Type 1"
HIF1A,Diabetic Retinopathy
CRTC2,"Diabetes Mellitus, Type 2"
TRPC1,"Diabetes Mellitus, Type 2"
PGF,Diabetic Retinopathy
CTGF,Diabetic Retinopathy
CCL2,Diabetic Retinopathy
VEGFA,Diabetic Angiopathies
CASP12,Diabetic Nephropathies
CD38,"Diabetes Mellitus, Type 1"
PRF1,"Diabetes Mellitus, Type 1"
GAL,"Diabetes Mellitus, Type 1"
SRD5A1,"Diabetes Mellitus, Type 2"
CYTB,"Diabetes Mellitus, Type 2"
AGTR2,"Diabetes Mellitus, Type 2"
MMP1,"Diabetes Mellitus, Type 2"
ICA1,"Diabetes Mellitus, Type 1"
CST3,Diabetic Nephropathies
SERPINE1,Insulin Resistance
STK11,Insulin Resistance
TP53,Diabetic Nephropathies
