geneSymbol,diseaseName
APLNR,Diabetic Nephropathies
ALDH2,Diabetic Nephropathies
ALOX12,Diabetic Nephropathies
AMH,Diabetic Nephropathies
ANG,Diabetic Nephropathies
ANGPT1,Diabetic Nephropathies
FASLG,Diabetic Nephropathies
AQP1,Diabetic Nephropathies
AQP2,Diabetic Nephropathies
AQP5,Diabetic Nephropathies
BCL2,Diabetic Nephropathies
BGN,Diabetic Nephropathies
CAV1,Diabetic Nephropathies
CDH2,Diabetic Nephropathies
CETP,Diabetic Nephropathies
CNR1,Diabetic Nephropathies
COL1A2,Diabetic Nephropathies
COL8A1,Diabetic Nephropathies
COL8A2,Diabetic Nephropathies
COX8A,Diabetic Nephropathies
CREB1,Diabetic Nephropathies
CREM,Diabetic Nephropathies
VCAN,Diabetic Nephropathies
CYBB,Diabetic Nephropathies
CYP24A1,Diabetic Nephropathies
DBP,Diabetic Nephropathies
DPP4,Diabetic Nephropathies
DRD3,Diabetic Nephropathies
E2F1,Diabetic Nephropathies
ECE1,Diabetic Nephropathies
EDA,Diabetic Nephropathies
EEF1B2P2,Diabetic Nephropathies
EGFR,Diabetic Nephropathies
MARK2,Diabetic Nephropathies
EPHX2,Diabetic Nephropathies
ETS1,Diabetic Nephropathies
G6PD,Diabetic Nephropathies
GC,Diabetic Nephropathies
GCG,Diabetic Nephropathies
GHSR,Diabetic Nephropathies
GPX1,Diabetic Nephropathies
GPX4,Diabetic Nephropathies
GTF2H1,Diabetic Nephropathies
HBA1,Diabetic Nephropathies
HBA2,Diabetic Nephropathies
HCCS,Diabetic Nephropathies
HLA-DRB4,Diabetic Nephropathies
HMGB1,Diabetic Nephropathies
HES1,Diabetic Nephropathies
HSD17B4,Diabetic Nephropathies
HSPA4,Diabetic Nephropathies
HSPA5,Diabetic Nephropathies
IL1A,Diabetic Nephropathies
CXCL8,Diabetic Nephropathies
INPPL1,Diabetic Nephropathies
INSR,Diabetic Nephropathies
ITGA1,Diabetic Nephropathies
ITGA2B,Diabetic Nephropathies
JAK2,Diabetic Nephropathies
KRT16,Diabetic Nephropathies
LAMC1,Diabetic Nephropathies
LCP1,Diabetic Nephropathies
LEP,Diabetic Nephropathies
LMNA,Diabetic Nephropathies
LRP5,Diabetic Nephropathies
LTBP1,Diabetic Nephropathies
SMAD5,Diabetic Nephropathies
MEP1B,Diabetic Nephropathies
KMT2A,Diabetic Nephropathies
MME,Diabetic Nephropathies
MMP7,Diabetic Nephropathies
MMP10,Diabetic Nephropathies
COX1,Diabetic Nephropathies
MUC1,Diabetic Nephropathies
NCK1,Diabetic Nephropathies
NOTCH3,Diabetic Nephropathies
PITX2,Diabetic Nephropathies
PKD1,Diabetic Nephropathies
PPARD,Diabetic Nephropathies
PRH1,Diabetic Nephropathies
PRH2,Diabetic Nephropathies
MAPK1,Diabetic Nephropathies
MAPK3,Diabetic Nephropathies
MAPK8,Diabetic Nephropathies
MAPK9,Diabetic Nephropathies
MAP2K2,Diabetic Nephropathies
PSMD9,Diabetic Nephropathies
PTGDS,Diabetic Nephropathies
PTGS1,Diabetic Nephropathies
PTHLH,Diabetic Nephropathies
PTPN1,Diabetic Nephropathies
BRD2,Diabetic Nephropathies
ROCK1,Diabetic Nephropathies
RPL36A,Diabetic Nephropathies
SCD,Diabetic Nephropathies
SLC22A3,Diabetic Nephropathies
SLC22A2,Diabetic Nephropathies
SLPI,Diabetic Nephropathies
SMN1,Diabetic Nephropathies
SMN2,Diabetic Nephropathies
SORD,Diabetic Nephropathies
STAT1,Diabetic Nephropathies
STAT3,Diabetic Nephropathies
ABCC8,Diabetic Nephropathies
SYT1,Diabetic Nephropathies
ADAM17,Diabetic Nephropathies
TGFB2,Diabetic Nephropathies
TGFB3,Diabetic Nephropathies
TLR2,Diabetic Nephropathies
TPD52,Diabetic Nephropathies
CRISP2,Diabetic Nephropathies
TXN,Diabetic Nephropathies
BEST1,Diabetic Nephropathies
WFS1,Diabetic Nephropathies
WT1,Diabetic Nephropathies
NELFE,Diabetic Nephropathies
CUL5,Diabetic Nephropathies
HMGA2,Diabetic Nephropathies
SLC14A2,Diabetic Nephropathies
C21orf33,Diabetic Nephropathies
EPX,Diabetic Nephropathies
AXIN2,Diabetic Nephropathies
SDPR,Diabetic Nephropathies
IRS2,Diabetic Nephropathies
IL18R1,Diabetic Nephropathies
NR1I2,Diabetic Nephropathies
SQSTM1,Diabetic Nephropathies
SLC22A6,Diabetic Nephropathies
PPIG,Diabetic Nephropathies
KL,Diabetic Nephropathies
SLC22A8,Diabetic Nephropathies
PICK1,Diabetic Nephropathies
GDF15,Diabetic Nephropathies
RIMS2,Diabetic Nephropathies
SFI1,Diabetic Nephropathies
ZEB2,Diabetic Nephropathies
GFPT2,Diabetic Nephropathies
EBI3,Diabetic Nephropathies
CALCRL,Diabetic Nephropathies
RAMP2,Diabetic Nephropathies
AKR1A1,Diabetic Nephropathies
TFG,Diabetic Nephropathies
TIMM44,Diabetic Nephropathies
HYOU1,Diabetic Nephropathies
KHDRBS1,Diabetic Nephropathies
MMP24,Diabetic Nephropathies
JTB,Diabetic Nephropathies
ADAMTS13,Diabetic Nephropathies
SYNPO,Diabetic Nephropathies
VASH1,Diabetic Nephropathies
MLYCD,Diabetic Nephropathies
CD2AP,Diabetic Nephropathies
NUP62,Diabetic Nephropathies
HPGDS,Diabetic Nephropathies
BHLHE22,Diabetic Nephropathies
SGSM3,Diabetic Nephropathies
REM1,Diabetic Nephropathies
EHD2,Diabetic Nephropathies
MBL3P,Diabetic Nephropathies
FOXP3,Diabetic Nephropathies
MLXIPL,Diabetic Nephropathies
DCTN4,Diabetic Nephropathies
MEPE,Diabetic Nephropathies
MAGEE1,Diabetic Nephropathies
ZNF410,Diabetic Nephropathies
TRPV4,Diabetic Nephropathies
FN3K,Diabetic Nephropathies
NOD2,Diabetic Nephropathies
GORASP1,Diabetic Nephropathies
WNK1,Diabetic Nephropathies
NOX5,Diabetic Nephropathies
LIN28A,Diabetic Nephropathies
EHMT1,Diabetic Nephropathies
DOT1L,Diabetic Nephropathies
SPZ1,Diabetic Nephropathies
LMNB2,Diabetic Nephropathies
ABCC11,Diabetic Nephropathies
MTG1,Diabetic Nephropathies
OR6B1,Diabetic Nephropathies
GLIPR2,Diabetic Nephropathies
PRSS55,Diabetic Nephropathies
NANOS1,Diabetic Nephropathies
HCN1,Diabetic Nephropathies
SERPINA13P,Diabetic Nephropathies
OR3A4P,Diabetic Nephropathies
MIRLET7B,Diabetic Nephropathies
MIR126,Diabetic Nephropathies
MIR210,Diabetic Nephropathies
MIR93,Diabetic Nephropathies
OR13G1,Diabetic Nephropathies
NCF1,Diabetic Nephropathies
ZGLP1,Diabetic Nephropathies
OR3A5P,Diabetic Nephropathies
LOC102724023,Diabetic Nephropathies
ABCA4,Neonatal diabetes mellitus
ASAH1,Neonatal diabetes mellitus
DNAH8,Neonatal diabetes mellitus
GATA4,Neonatal diabetes mellitus
HLA-DRB4,Neonatal diabetes mellitus
NKX2-2,Neonatal diabetes mellitus
PAX4,Neonatal diabetes mellitus
MAP4K2,Neonatal diabetes mellitus
SOX3,Neonatal diabetes mellitus
HNF1B,Neonatal diabetes mellitus
TNDM,Neonatal diabetes mellitus
FOXP3,Neonatal diabetes mellitus
PDGFB,Diabetic ulcer
ALB,Insulin resistance syndrome
APOA2,Insulin resistance syndrome
APOA4,Insulin resistance syndrome
APOC1,Insulin resistance syndrome
APOC2,Insulin resistance syndrome
APOC4,Insulin resistance syndrome
CD36,Insulin resistance syndrome
CP,Insulin resistance syndrome
CRP,Insulin resistance syndrome
GCG,Insulin resistance syndrome
GYS1,Insulin resistance syndrome
LMNA,Insulin resistance syndrome
TRIM37,Insulin resistance syndrome
NOS3,Insulin resistance syndrome
NUCB2,Insulin resistance syndrome
PPARA,Insulin resistance syndrome
ACSM3,Insulin resistance syndrome
VWF,Insulin resistance syndrome
NR0B2,Insulin resistance syndrome
SLC27A4,Insulin resistance syndrome
TRIM31,Insulin resistance syndrome
TMBIM4,Insulin resistance syndrome
EXOSC4,Insulin resistance syndrome
CHDH,Insulin resistance syndrome
RETN,Insulin resistance syndrome
ABCG5,Insulin resistance syndrome
ABCG8,Insulin resistance syndrome
LPAL2,Insulin resistance syndrome
SLC27A1,Insulin resistance syndrome
ADM,Proliferative diabetic retinopathy
ADRB3,Proliferative diabetic retinopathy
APLNR,Proliferative diabetic retinopathy
AKR1B1,Proliferative diabetic retinopathy
CCNA2,Proliferative diabetic retinopathy
SARDH,Proliferative diabetic retinopathy
GFAP,Proliferative diabetic retinopathy
UTS2R,Proliferative diabetic retinopathy
HGF,Proliferative diabetic retinopathy
MMP14,Proliferative diabetic retinopathy
NFKB1,Proliferative diabetic retinopathy
PML,Proliferative diabetic retinopathy
PPP3CA,Proliferative diabetic retinopathy
PSG1,Proliferative diabetic retinopathy
SDHB,Proliferative diabetic retinopathy
SP1,Proliferative diabetic retinopathy
SST,Proliferative diabetic retinopathy
TCF7L2,Proliferative diabetic retinopathy
TMSB4X,Proliferative diabetic retinopathy
SLC14A2,Proliferative diabetic retinopathy
AOC3,Proliferative diabetic retinopathy
VAMP8,Proliferative diabetic retinopathy
NRP1,Proliferative diabetic retinopathy
SDS,Proliferative diabetic retinopathy
PLXDC1,Proliferative diabetic retinopathy
SNAP47,Proliferative diabetic retinopathy
DAND5,Proliferative diabetic retinopathy
CAPN5,Diabetic cataract
CAPN3,Diabetic cataract
INS,Diabetic cataract
SORD,Diabetic cataract
INS-IGF2,Diabetic cataract
GLI1,Necrobiosis lipoidica diabeticorum
EDN1,Diabetic Heart Disease
LEP,Diabetic Heart Disease
ALB,Mason-Type Diabetes
APOC3,Mason-Type Diabetes
ASIP,Mason-Type Diabetes
FXYD2,Mason-Type Diabetes
BRCA2,Mason-Type Diabetes
CREBBP,Mason-Type Diabetes
CSRP1,Mason-Type Diabetes
DNAH8,Mason-Type Diabetes
FABP1,Mason-Type Diabetes
FANCD2,Mason-Type Diabetes
GCKR,Mason-Type Diabetes
GGT1,Mason-Type Diabetes
GIP,Mason-Type Diabetes
GLP1R,Mason-Type Diabetes
GNAI2,Mason-Type Diabetes
GPD1,Mason-Type Diabetes
ONECUT1,Mason-Type Diabetes
IAPP,Mason-Type Diabetes
ISL1,Mason-Type Diabetes
KCNC4,Mason-Type Diabetes
KCNJ1,Mason-Type Diabetes
KCNJ3,Mason-Type Diabetes
LEPR,Mason-Type Diabetes
MTNR1B,Mason-Type Diabetes
PCBD1,Mason-Type Diabetes
PCK1,Mason-Type Diabetes
PPARA,Mason-Type Diabetes
PSEN1,Mason-Type Diabetes
PTPRN,Mason-Type Diabetes
SCT,Mason-Type Diabetes
SGCG,Mason-Type Diabetes
NR2F2,Mason-Type Diabetes
TGFB1,Mason-Type Diabetes
TTR,Mason-Type Diabetes
LBX1,Mason-Type Diabetes
MAP4K5,Mason-Type Diabetes
SACM1L,Mason-Type Diabetes
WDTC1,Mason-Type Diabetes
PASK,Mason-Type Diabetes
SGSM3,Mason-Type Diabetes
CYB5R4,Mason-Type Diabetes
NEUROD4,Mason-Type Diabetes
EHMT1,Mason-Type Diabetes
C1QTNF1,Mason-Type Diabetes
PPIAP10,Mason-Type Diabetes
GGTLC5P,Mason-Type Diabetes
GGTLC3,Mason-Type Diabetes
GGT2,Mason-Type Diabetes
GGTLC4P,Mason-Type Diabetes
ZGLP1,Mason-Type Diabetes
ADRA1A,"Diabetes Insipidus, Nephrogenic"
ADRA2B,"Diabetes Insipidus, Nephrogenic"
AQP1,"Diabetes Insipidus, Nephrogenic"
AQP3,"Diabetes Insipidus, Nephrogenic"
BRS3,"Diabetes Insipidus, Nephrogenic"
CALCA,"Diabetes Insipidus, Nephrogenic"
CLCNKA,"Diabetes Insipidus, Nephrogenic"
CLCNKB,"Diabetes Insipidus, Nephrogenic"
DMD,"Diabetes Insipidus, Nephrogenic"
EDNRA,"Diabetes Insipidus, Nephrogenic"
EPHA3,"Diabetes Insipidus, Nephrogenic"
G6PD,"Diabetes Insipidus, Nephrogenic"
OXT,"Diabetes Insipidus, Nephrogenic"
SGCG,"Diabetes Insipidus, Nephrogenic"
SSTR4,"Diabetes Insipidus, Nephrogenic"
VWF,"Diabetes Insipidus, Nephrogenic"
UBL4A,"Diabetes Insipidus, Nephrogenic"
LPAR2,"Diabetes Insipidus, Nephrogenic"
CXCR6,"Diabetes Insipidus, Nephrogenic"
ACKR3,"Diabetes Insipidus, Nephrogenic"
CYSLTR2,"Diabetes Insipidus, Nephrogenic"
INS,Pre-Gestational Diabetes
MMP14,Pre-Gestational Diabetes
ACE,Nonproliferative diabetic retinopathy
SARDH,Nonproliferative diabetic retinopathy
RBP3,Nonproliferative diabetic retinopathy
SDHB,Nonproliferative diabetic retinopathy
SDS,Nonproliferative diabetic retinopathy
OR7E26P,Nonproliferative diabetic retinopathy
EPO,Diabetic macular edema
IL1B,Diabetic macular edema
INS,Diabetic macular edema
NOS3,Diabetic macular edema
SOD1,Diabetic macular edema
INS-IGF2,Diabetic macular edema
ADM,Diabetic Ketoacidosis
CTLA4,Diabetic Ketoacidosis
HLA-DRB4,Diabetic Ketoacidosis
HNF4A,Diabetic Ketoacidosis
PTPRN,Diabetic Ketoacidosis
WFS1,Diabetic Ketoacidosis
RNLS,Diabetic Ketoacidosis
GCNT2,Protein-deficient diabetes mellitus
HGF,Diabetic peripheral neuropathy
HSPB1,Diabetic peripheral neuropathy
HSPB2,Diabetic peripheral neuropathy
IL4,Diabetic peripheral neuropathy
LEP,Diabetic peripheral neuropathy
SREBF1,Diabetic peripheral neuropathy
HSPB3,Diabetic peripheral neuropathy
NOS1AP,Diabetic peripheral neuropathy
GCG,Noninsulin-dependent diabetes mellitus with deafness
RAPGEF5,Noninsulin-dependent diabetes mellitus with deafness
GHR,"Diabetes Mellitus, Experimental"
TMSB4X,"Diabetes Mellitus, Experimental"
MNX1,"Diabetes Mellitus, Permanent Neonatal"
HLA-DRB4,"Diabetes Mellitus, Permanent Neonatal"
MAFD2,"Diabetes Mellitus, Permanent Neonatal"
MAP4K2,"Diabetes Mellitus, Permanent Neonatal"
SLC2A2,"Diabetes Mellitus, Permanent Neonatal"
TNDM,"Diabetes Mellitus, Permanent Neonatal"
ALB,Diabetic Neuropathies
ALOX15,Diabetic Neuropathies
XIAP,Diabetic Neuropathies
ATP1A1,Diabetic Neuropathies
ATP1A4,Diabetic Neuropathies
DNAH8,Diabetic Neuropathies
ACSL1,Diabetic Neuropathies
GPX1,Diabetic Neuropathies
GSTM1,Diabetic Neuropathies
GSTT1,Diabetic Neuropathies
PGF,Diabetic Neuropathies
RPS19,Diabetic Neuropathies
SHH,Diabetic Neuropathies
SLC5A5,Diabetic Neuropathies
TRPV1,Diabetic Neuropathies
LOH19CR1,Diabetic Neuropathies
PNPLA6,Diabetic Neuropathies
GAL,Diabetic Neuropathies
ZKSCAN7,Diabetic Neuropathies
BDNF-AS,Diabetic Neuropathies
INS-IGF2,Diabetic Neuropathies
ACP5,Pancreatic disorders (not diabetes)
CD40,Pancreatic disorders (not diabetes)
CD40LG,Pancreatic disorders (not diabetes)
NTS,Pancreatic disorders (not diabetes)
PRSS2,Pancreatic disorders (not diabetes)
TRAF2,Pancreatic disorders (not diabetes)
TDRD7,Pancreatic disorders (not diabetes)
UGT1A7,Pancreatic disorders (not diabetes)
SCYL1,Pancreatic disorders (not diabetes)
TRAP,Pancreatic disorders (not diabetes)
CALR,Insulin resistance - type A
HSP90AA1,Insulin resistance - type A
IGFBP3,Insulin resistance - type A
LMNA,Insulin resistance - type A
SERPINA3,"Diabetes Mellitus, Type 1"
ACTG1,"Diabetes Mellitus, Type 1"
ACTG2,"Diabetes Mellitus, Type 1"
ADAM10,"Diabetes Mellitus, Type 1"
ADD1,"Diabetes Mellitus, Type 1"
ALOX15,"Diabetes Mellitus, Type 1"
AMH,"Diabetes Mellitus, Type 1"
ANGPT1,"Diabetes Mellitus, Type 1"
ANGPT2,"Diabetes Mellitus, Type 1"
ANXA5,"Diabetes Mellitus, Type 1"
ANXA11,"Diabetes Mellitus, Type 1"
AOC2,"Diabetes Mellitus, Type 1"
APP,"Diabetes Mellitus, Type 1"
APRT,"Diabetes Mellitus, Type 1"
AR,"Diabetes Mellitus, Type 1"
ASIP,"Diabetes Mellitus, Type 1"
ASPA,"Diabetes Mellitus, Type 1"
SERPINC1,"Diabetes Mellitus, Type 1"
ATF3,"Diabetes Mellitus, Type 1"
BAAT,"Diabetes Mellitus, Type 1"
BCAT1,"Diabetes Mellitus, Type 1"
BCL2L1,"Diabetes Mellitus, Type 1"
BDNF,"Diabetes Mellitus, Type 1"
BGLAP,"Diabetes Mellitus, Type 1"
BLK,"Diabetes Mellitus, Type 1"
BMI1,"Diabetes Mellitus, Type 1"
BMP6,"Diabetes Mellitus, Type 1"
BTF3P11,"Diabetes Mellitus, Type 1"
VPS51,"Diabetes Mellitus, Type 1"
CA2,"Diabetes Mellitus, Type 1"
DDR1,"Diabetes Mellitus, Type 1"
SLC25A20,"Diabetes Mellitus, Type 1"
CALCA,"Diabetes Mellitus, Type 1"
CBR1,"Diabetes Mellitus, Type 1"
CD1A,"Diabetes Mellitus, Type 1"
CD1C,"Diabetes Mellitus, Type 1"
CD1E,"Diabetes Mellitus, Type 1"
CD27,"Diabetes Mellitus, Type 1"
CD36,"Diabetes Mellitus, Type 1"
CD59,"Diabetes Mellitus, Type 1"
CDC25C,"Diabetes Mellitus, Type 1"
CDKN2A,"Diabetes Mellitus, Type 1"
CHGA,"Diabetes Mellitus, Type 1"
CCR4,"Diabetes Mellitus, Type 1"
CRYGD,"Diabetes Mellitus, Type 1"
CRYZ,"Diabetes Mellitus, Type 1"
CSF2,"Diabetes Mellitus, Type 1"
CSRP1,"Diabetes Mellitus, Type 1"
CTSL,"Diabetes Mellitus, Type 1"
CYBB,"Diabetes Mellitus, Type 1"
DES,"Diabetes Mellitus, Type 1"
DHPS,"Diabetes Mellitus, Type 1"
DMBT1,"Diabetes Mellitus, Type 1"
DPYD,"Diabetes Mellitus, Type 1"
ARID3A,"Diabetes Mellitus, Type 1"
EIF5A,"Diabetes Mellitus, Type 1"
EPHB4,"Diabetes Mellitus, Type 1"
ERG,"Diabetes Mellitus, Type 1"
ESD,"Diabetes Mellitus, Type 1"
ESRRA,"Diabetes Mellitus, Type 1"
FASN,"Diabetes Mellitus, Type 1"
FCER2,"Diabetes Mellitus, Type 1"
FCGRT,"Diabetes Mellitus, Type 1"
FGR,"Diabetes Mellitus, Type 1"
FLNA,"Diabetes Mellitus, Type 1"
FN1,"Diabetes Mellitus, Type 1"
FOS,"Diabetes Mellitus, Type 1"
FSHMD1A,"Diabetes Mellitus, Type 1"
FUT2,"Diabetes Mellitus, Type 1"
FYN,"Diabetes Mellitus, Type 1"
SLC37A4,"Diabetes Mellitus, Type 1"
GATA3,"Diabetes Mellitus, Type 1"
GATA4,"Diabetes Mellitus, Type 1"
GFAP,"Diabetes Mellitus, Type 1"
GFER,"Diabetes Mellitus, Type 1"
GGT1,"Diabetes Mellitus, Type 1"
GLP1R,"Diabetes Mellitus, Type 1"
GPX4,"Diabetes Mellitus, Type 1"
GSN,"Diabetes Mellitus, Type 1"
GSTM2,"Diabetes Mellitus, Type 1"
HCRT,"Diabetes Mellitus, Type 1"
HFE,"Diabetes Mellitus, Type 1"
HGF,"Diabetes Mellitus, Type 1"
HLA-DQB3,"Diabetes Mellitus, Type 1"
HLA-DRB3,"Diabetes Mellitus, Type 1"
HMOX1,"Diabetes Mellitus, Type 1"
HOXD8,"Diabetes Mellitus, Type 1"
HPRT1,"Diabetes Mellitus, Type 1"
HES1,"Diabetes Mellitus, Type 1"
HSPA5,"Diabetes Mellitus, Type 1"
HTR1A,"Diabetes Mellitus, Type 1"
ID2,"Diabetes Mellitus, Type 1"
ID3,"Diabetes Mellitus, Type 1"
IDDM16,"Diabetes Mellitus, Type 1"
IGBP1,"Diabetes Mellitus, Type 1"
IGF2R,"Diabetes Mellitus, Type 1"
IGH,"Diabetes Mellitus, Type 1"
IL3,"Diabetes Mellitus, Type 1"
IL12RB1,"Diabetes Mellitus, Type 1"
IL12RB2,"Diabetes Mellitus, Type 1"
TNFRSF9,"Diabetes Mellitus, Type 1"
INPPL1,"Diabetes Mellitus, Type 1"
ITGAX,"Diabetes Mellitus, Type 1"
ITGB2,"Diabetes Mellitus, Type 1"
JAK2,"Diabetes Mellitus, Type 1"
KCNC4,"Diabetes Mellitus, Type 1"
KCNE1,"Diabetes Mellitus, Type 1"
LCN2,"Diabetes Mellitus, Type 1"
LIPC,"Diabetes Mellitus, Type 1"
LTBR,"Diabetes Mellitus, Type 1"
SMAD7,"Diabetes Mellitus, Type 1"
MAS1,"Diabetes Mellitus, Type 1"
MAP3K1,"Diabetes Mellitus, Type 1"
MGAT1,"Diabetes Mellitus, Type 1"
MME,"Diabetes Mellitus, Type 1"
MMP9,"Diabetes Mellitus, Type 1"
MMP10,"Diabetes Mellitus, Type 1"
MMP14,"Diabetes Mellitus, Type 1"
MNDA,"Diabetes Mellitus, Type 1"
MPP1,"Diabetes Mellitus, Type 1"
MS,"Diabetes Mellitus, Type 1"
MYO1B,"Diabetes Mellitus, Type 1"
TRNT,"Diabetes Mellitus, Type 1"
MYC,"Diabetes Mellitus, Type 1"
NELL1,"Diabetes Mellitus, Type 1"
NOTCH3,"Diabetes Mellitus, Type 1"
NRAS,"Diabetes Mellitus, Type 1"
NTRK2,"Diabetes Mellitus, Type 1"
OAT,"Diabetes Mellitus, Type 1"
OR3A1,"Diabetes Mellitus, Type 1"
ORM1,"Diabetes Mellitus, Type 1"
P4HB,"Diabetes Mellitus, Type 1"
PAEP,"Diabetes Mellitus, Type 1"
PCMT1,"Diabetes Mellitus, Type 1"
ENPP1,"Diabetes Mellitus, Type 1"
PGC,"Diabetes Mellitus, Type 1"
POLR2D,"Diabetes Mellitus, Type 1"
PREP,"Diabetes Mellitus, Type 1"
PRKCB,"Diabetes Mellitus, Type 1"
MAPK8,"Diabetes Mellitus, Type 1"
PRSS1,"Diabetes Mellitus, Type 1"
PSMD12,"Diabetes Mellitus, Type 1"
PTH,"Diabetes Mellitus, Type 1"
RARRES3,"Diabetes Mellitus, Type 1"
RBP4,"Diabetes Mellitus, Type 1"
RELB,"Diabetes Mellitus, Type 1"
S100A9,"Diabetes Mellitus, Type 1"
S100A12,"Diabetes Mellitus, Type 1"
SAG,"Diabetes Mellitus, Type 1"
SCD,"Diabetes Mellitus, Type 1"
CCL3L1,"Diabetes Mellitus, Type 1"
CCL5,"Diabetes Mellitus, Type 1"
SEL1L,"Diabetes Mellitus, Type 1"
SELP,"Diabetes Mellitus, Type 1"
SHH,"Diabetes Mellitus, Type 1"
SLC2A4,"Diabetes Mellitus, Type 1"
SLC5A1,"Diabetes Mellitus, Type 1"
SLCO1A2,"Diabetes Mellitus, Type 1"
FSCN1,"Diabetes Mellitus, Type 1"
SPINK1,"Diabetes Mellitus, Type 1"
SREBF1,"Diabetes Mellitus, Type 1"
STAT1,"Diabetes Mellitus, Type 1"
STAT5A,"Diabetes Mellitus, Type 1"
STAT5B,"Diabetes Mellitus, Type 1"
STYX,"Diabetes Mellitus, Type 1"
SUV39H1,"Diabetes Mellitus, Type 1"
TCF19,"Diabetes Mellitus, Type 1"
TIMP3,"Diabetes Mellitus, Type 1"
TM7SF2,"Diabetes Mellitus, Type 1"
TTC3,"Diabetes Mellitus, Type 1"
TTR,"Diabetes Mellitus, Type 1"
TNFRSF4,"Diabetes Mellitus, Type 1"
SUMO1,"Diabetes Mellitus, Type 1"
UCP1,"Diabetes Mellitus, Type 1"
UCP2,"Diabetes Mellitus, Type 1"
UCP3,"Diabetes Mellitus, Type 1"
VIL1,"Diabetes Mellitus, Type 1"
WARS,"Diabetes Mellitus, Type 1"
ALMS1,"Diabetes Mellitus, Type 1"
PLA2G7,"Diabetes Mellitus, Type 1"
TNDM,"Diabetes Mellitus, Type 1"
NR4A3,"Diabetes Mellitus, Type 1"
RASSF7,"Diabetes Mellitus, Type 1"
KMT2D,"Diabetes Mellitus, Type 1"
MADCAM1,"Diabetes Mellitus, Type 1"
C21orf33,"Diabetes Mellitus, Type 1"
AXIN2,"Diabetes Mellitus, Type 1"
PLA2G6,"Diabetes Mellitus, Type 1"
DHX16,"Diabetes Mellitus, Type 1"
PIK3R3,"Diabetes Mellitus, Type 1"
TNFSF11,"Diabetes Mellitus, Type 1"
AOC3,"Diabetes Mellitus, Type 1"
TNFRSF11A,"Diabetes Mellitus, Type 1"
IL18R1,"Diabetes Mellitus, Type 1"
HDAC3,"Diabetes Mellitus, Type 1"
KAT2B,"Diabetes Mellitus, Type 1"
MSC,"Diabetes Mellitus, Type 1"
NRXN1,"Diabetes Mellitus, Type 1"
NCR1,"Diabetes Mellitus, Type 1"
FHL5,"Diabetes Mellitus, Type 1"
ATG5,"Diabetes Mellitus, Type 1"
ADAMTS1,"Diabetes Mellitus, Type 1"
RNF7,"Diabetes Mellitus, Type 1"
DDX46,"Diabetes Mellitus, Type 1"
SUPT7L,"Diabetes Mellitus, Type 1"
DGCR2,"Diabetes Mellitus, Type 1"
IL18BP,"Diabetes Mellitus, Type 1"
EBI3,"Diabetes Mellitus, Type 1"
KLRG1,"Diabetes Mellitus, Type 1"
RAMP2,"Diabetes Mellitus, Type 1"
IKZF1,"Diabetes Mellitus, Type 1"
AKR1A1,"Diabetes Mellitus, Type 1"
TUBB3,"Diabetes Mellitus, Type 1"
TUBB4A,"Diabetes Mellitus, Type 1"
DEAF1,"Diabetes Mellitus, Type 1"
BATF,"Diabetes Mellitus, Type 1"
PRDX4,"Diabetes Mellitus, Type 1"
TXNIP,"Diabetes Mellitus, Type 1"
AP4B1,"Diabetes Mellitus, Type 1"
NES,"Diabetes Mellitus, Type 1"
CIT,"Diabetes Mellitus, Type 1"
POLG2,"Diabetes Mellitus, Type 1"
USP18,"Diabetes Mellitus, Type 1"
CTRC,"Diabetes Mellitus, Type 1"
ACOT7,"Diabetes Mellitus, Type 1"
IKZF3,"Diabetes Mellitus, Type 1"
SIRT2,"Diabetes Mellitus, Type 1"
WDTC1,"Diabetes Mellitus, Type 1"
DDX58,"Diabetes Mellitus, Type 1"
CD2AP,"Diabetes Mellitus, Type 1"
CA14,"Diabetes Mellitus, Type 1"
QPCT,"Diabetes Mellitus, Type 1"
CCRN4L,"Diabetes Mellitus, Type 1"
OR7E66P,"Diabetes Mellitus, Type 1"
FOXD3,"Diabetes Mellitus, Type 1"
ATP2C1,"Diabetes Mellitus, Type 1"
SGSM3,"Diabetes Mellitus, Type 1"
BLNK,"Diabetes Mellitus, Type 1"
A1CF,"Diabetes Mellitus, Type 1"
CXXC1,"Diabetes Mellitus, Type 1"
DUOX2,"Diabetes Mellitus, Type 1"
NOX4,"Diabetes Mellitus, Type 1"
TUBE1,"Diabetes Mellitus, Type 1"
SLC25A37,"Diabetes Mellitus, Type 1"
NELFCD,"Diabetes Mellitus, Type 1"
TLR9,"Diabetes Mellitus, Type 1"
ELP6,"Diabetes Mellitus, Type 1"
NADSYN1,"Diabetes Mellitus, Type 1"
QRSL1,"Diabetes Mellitus, Type 1"
DDX19A,"Diabetes Mellitus, Type 1"
IL17RB,"Diabetes Mellitus, Type 1"
VIMP,"Diabetes Mellitus, Type 1"
ZNF395,"Diabetes Mellitus, Type 1"
PRDM10,"Diabetes Mellitus, Type 1"
IDDM18,"Diabetes Mellitus, Type 1"
CD177,"Diabetes Mellitus, Type 1"
CNOT6,"Diabetes Mellitus, Type 1"
SEMA6A,"Diabetes Mellitus, Type 1"
MAGEE1,"Diabetes Mellitus, Type 1"
ZNF410,"Diabetes Mellitus, Type 1"
SMOC1,"Diabetes Mellitus, Type 1"
