drug_name,gene_name
NAFCILLIN,NR1I2
LUMIRACOXIB,PTGS2
THROMBOLYTIC AGENT,SERPINE1
TERBINAFINE,NR1I2
RECOMBINANT HEPATOCYTE GROWTH FACTOR,SLPI
NICOTINE POLACRILEX,TGFB1
EMODIN,TGFB1
RIVASTIGMINE,APOE
PYRIDOXAL PHOSPHATE ANHYDROUS,CYP2E1
CELECOXIB,IGFBP3
ASPIRIN,TGFB1
ASPIRIN,MYOM2
ASPIRIN,ACE
SENREBOTASE,ADRA1D
TRALOKINUMAB,IL13
ENALAPRIL MALEATE,ADRB2
ADALIMUMAB-ADBM,HLA-DRB1
BAMOSIRAN,ADRB2
ADALIMUMAB-ADBM,VEGFA
VARENICLINE,CHRNA3
LEVOBUNOLOL,ADRB2
MEFENAMIC ACID,PTGS2
CARBOPLATIN,PIK3CA
NABUMETONE,PTGS2
DIFLUNISAL,PTGS2
SULINDAC,PTGS2
CARBIMAZOLE,HLA-DRB1
MYCOPHENOLATE MOFETIL,TNF
PYRAZINAMIDE,TNF
NIFLUMIC ACID,PTGS2
EMAPTICAP PEGOL,CCL2
CYCLOPHOSPHAMIDE ANHYDROUS,CYP2A6
ASP-8477,KDR
DIPROPYL-5-CT,A2M
KETANSERIN,A2M
MRS1042,ABCA3
MRS1486,ABCA3
FLUOXETINE HYDROCHLORIDE,SERPINE1
CLOMIPRAMINE,EPHX1
CITALOPRAM,SERPINE1
AZD3458,PIK3CB
PANULISIB,PIK3CB
COMPOUND 8 [PMID: 17480064],CX3CR1
FICLATUZUMAB,HGF
SRA880,FAS
SORAFENIB,KDR
SUNITINIB,HMOX1
IRINOTECAN HYDROCHLORIDE,PIK3CA
TESEVATINIB,KDR
BORTEZOMIB,TP53
PEMBROLIZUMAB,KEAP1
BUTHIONINE SULFOXIMINE,KEAP1
PI3K ALPHA/BETA INHIBITOR BAY1082439,PIK3CA
ONATASERTIB,PIK3CA
INAVOLISIB,PIK3CA
PI3K-ALPHA INHIBITOR TOS-358,PIK3CA
PKI-179,PIK3CA
RIDAFOROLIMUS,PIK3CA
TOPOTECAN HYDROCHLORIDE,PIK3CA
NANOPARTICLE ALBUMIN-BOUND THIOCOLCHICINE DIMER NAB-5404,VEGFA
CLINDAMYCIN,NR1I2
SOLITOMAB,EPCAM
COMPOUND 34 [PMID: 25974391],FGF7
BUTYRIC ACID,GSTP1
VALDECOXIB,PTGS2
PROPAFENONE HYDROCHLORIDE,ADRB2
MILTEFOSINE,TNF
FLUOROURACIL,NOS1
TADEKINIG ALFA,IL18
SILYMARIN,TGFB1
PEMBROLIZUMAB,MET
LEVONORGESTREL,TP53
INCYCLINIDE,MMP2
DEHYDRATED ALCOHOL,NFE2L2
ASM-024,CHRNA3
EPIGALLOCATECHIN GALLATE,HGF
LAMOTRIGINE,HLA-DRB1
TIAPROFENIC ACID,PTGS2
CHEMBL:CHEMBL259784,TP53
PX-478,HIF1A
TRICLOSAN,NFE2L2
ANDECALIXIMAB,MMP9
MESALAMINE,IKBKB
COMPOUND 4 [PMID: 12408711],CASP3
CHEMBL:CHEMBL260213,TP53
BRUCEANTIN,JUN
SAMOTOLISIB,PIK3CA
FENOPROFEN,PTGS2
PAMIDRONATE,MMP2
