drug_name,gene_name
CHEMBL:CHEMBL148831,NFE2L2
GW441756X,PKN2
CHEMBL:CHEMBL429095,TP53
EBSELEN,ALOX15
LOMOFUNGIN,THRB
ZERANOL,ESR1
CHEMBL:CHEMBL313737,CYP3A4
METHAPHIT,CYP3A4
CHEMBL:CHEMBL588683,BRCA1
"NITROFURANTOIN, MACROCRYSTALS",NFE2L2
FPL64176,CYP2C19
PROCATEROL HYDROCHLORIDE,ADRB2
SB203580,GSK3B
EDARAVONE,CYP3A4
HEMICHOLINIUM-3,ALDH1A1
BMS-182874,HSD17B10
CHEMBL:CHEMBL336095,CYP2C9
AMPHOTERICIN B LIPOSOMAL,HSD17B10
DEMETHOXYCURCUMIN,SMAD2
(R)-NFPS,CYP2C19
5-FLUOROINDOLE-2-CARBOXYLIC ACID,HSD17B10
DEQUALINIUM CHLORIDE,AR
BORIC ACID,ESR1
HELIPARVIFOLINE,GFER
CYPROTERONE ACETATE,NFE2L2
NAPROXEN SODIUM,CYP2C9
BUTYRIC ACID,HDAC5
CARBENOXOLONE SODIUM,NFE2L2
CHEMBL:CHEMBL1308677,BRCA1
FERRUGINENE B,TRPV1
METHYLERGONOVINE MALEATE,CASP6
CHEMBL:CHEMBL602413,KCNH2
LY-2090314,CDK2
DOXORUBICIN HYDROCHLORIDE,CYP2C19
CHEMBL:CHEMBL1466186,SMAD3
GW5074,ALOX15
